patchs,limiar,resultado
13,0,0.5397633086914563
13,0.1,0.5440667870286144
13,0.2,0.5459545478584031
13,0.3,0.5694547623282726
13,0.4,0.5871009126162638
13,0.5,0.6384593270085779
13,0.6,0.668188397728538 
13,0.7,0.6883721384101954
13,0.8,0.7166334661354582
26,0,0.5519145486624386
26,0.1,0.5606599589909875
26,0.2,0.574131682122083 
26,0.3,0.5890865752958202
26,0.4,0.6104216033596884
26,0.5,0.6477690846539059
26,0.6,0.669008258012145 
26,0.7,0.7201757221915829
26,0.8,0.7541817815397017
39,0,0.5635375923511516
39,0.1,0.5852238157322903
39,0.2,0.5821319614763415
39,0.3,0.6005294400770095
39,0.4,0.6430003164890812
39,0.5,0.6709296119863217
39,0.6,0.7162112345053223
39,0.7,0.7397642853153102
50,0,0.5909012048192771
50,0.1,0.5849831325301205
50,0.2,0.6038424172730337
50,0.3,0.6167254748674175
50,0.4,0.6419506138777763
50,0.5,0.6755351838574208
50,0.6,0.7259195691415382
